Plate I.D.,Position
96 Well Plate4,1
96 Well Plate4,1
96 Well Plate4,2
96 Well Plate4,2
96 Well Plate4,2
96 Well Plate4,3
96 Well Plate4,3
96 Well Plate4,4
96 Well Plate4,4
96 Well Plate4,4
96 Well Plate4,5
96 Well Plate4,5
96 Well Plate4,5
96 Well Plate4,6
96 Well Plate4,6
96 Well Plate4,6
96 Well Plate4,6
96 Well Plate4,6
96 Well Plate4,7
96 Well Plate4,7
96 Well Plate4,7
96 Well Plate4,8
96 Well Plate4,8
96 Well Plate4,8
96 Well Plate4,8
96 Well Plate4,9
96 Well Plate4,10
96 Well Plate4,10
96 Well Plate4,10
96 Well Plate4,11
96 Well Plate4,11
96 Well Plate4,12
96 Well Plate4,12
96 Well Plate4,12
96 Well Plate4,12
96 Well Plate4,13
96 Well Plate4,13
96 Well Plate4,14
96 Well Plate4,14
96 Well Plate4,15
96 Well Plate4,15
96 Well Plate4,15
96 Well Plate4,16
96 Well Plate4,16
96 Well Plate4,16
96 Well Plate4,16
96 Well Plate4,17
96 Well Plate4,17
96 Well Plate4,18
96 Well Plate4,19
96 Well Plate4,19
96 Well Plate4,19
96 Well Plate4,20
96 Well Plate4,20
96 Well Plate4,21
96 Well Plate4,21
96 Well Plate4,22
96 Well Plate4,23
96 Well Plate4,24
96 Well Plate4,24
96 Well Plate4,24
96 Well Plate4,24
96 Well Plate4,25
96 Well Plate4,25
96 Well Plate4,25
96 Well Plate4,26
96 Well Plate4,27
96 Well Plate4,27
96 Well Plate4,28
96 Well Plate4,28
96 Well Plate4,29
96 Well Plate4,29
96 Well Plate4,30
96 Well Plate4,30
96 Well Plate4,31
96 Well Plate4,31
96 Well Plate4,31
96 Well Plate4,32
96 Well Plate4,32
96 Well Plate4,33
96 Well Plate4,33
96 Well Plate4,33
96 Well Plate4,34
96 Well Plate4,34
96 Well Plate4,34
96 Well Plate4,35
96 Well Plate4,35
96 Well Plate4,36
96 Well Plate4,36
96 Well Plate4,36
96 Well Plate4,37
96 Well Plate4,37
96 Well Plate4,38
96 Well Plate4,38
96 Well Plate4,38
96 Well Plate4,39
96 Well Plate4,39
96 Well Plate4,40
96 Well Plate4,40
96 Well Plate4,40
96 Well Plate4,41
96 Well Plate4,42
96 Well Plate4,42
96 Well Plate4,42
96 Well Plate4,43
96 Well Plate4,43
96 Well Plate4,44
96 Well Plate4,44
96 Well Plate4,44
96 Well Plate4,45
96 Well Plate4,45
96 Well Plate4,45
96 Well Plate4,45
96 Well Plate4,46
96 Well Plate4,46
96 Well Plate4,47
96 Well Plate4,47
96 Well Plate4,47
96 Well Plate4,48
96 Well Plate4,48
96 Well Plate4,49
96 Well Plate4,49
96 Well Plate4,50
96 Well Plate4,50
96 Well Plate4,50
96 Well Plate4,51
96 Well Plate4,51
96 Well Plate4,52
96 Well Plate4,52
