Point,Sample,Date,ElapsedMin,Weight,ElaspedMin^0.25,Temp,Humidity,Pressure,Light
1,Misssissippian-1,03-05-11 15:08:41,0.0,7.93682,0.0,016.8,86.92,101236,1023
2,Misssissippian-1,03-05-11 15:08:56,0.0,7.936836,0.0,016.8,86.90,101236,1023
3,Misssissippian-1,03-05-11 15:09:11,1.0,7.936854,1.0,016.8,86.87,101240,1023
4,Misssissippian-1,03-05-11 15:09:26,1.0,7.936865,1.0,016.8,86.82,101236,1023
5,Misssissippian-1,03-05-11 15:09:41,1.0,7.936885,1.0,016.9,86.77,101236,1023
6,Misssissippian-1,03-05-11 15:09:56,1.0,7.936894,1.0,016.8,86.73,101236,1023
7,Misssissippian-1,03-05-11 15:10:13,2.0,7.936916,1.189207115,016.9,86.68,101237,1023
8,Misssissippian-1,03-05-11 15:10:28,2.0,7.936928,1.189207115,016.9,86.63,101237,1023
9,Misssissippian-1,03-05-11 15:10:46,2.0,7.936949,1.189207115,016.9,86.58,101237,1023
10,Misssissippian-1,03-05-11 15:11:01,2.0,7.93696,1.189207115,016.8,86.53,101236,1023
11,Misssissippian-1,03-05-11 15:11:18,3.0,7.93698,1.31607401295,016.8,86.48,101237,1023
12,Misssissippian-1,03-05-11 15:11:33,3.0,7.936994,1.31607401295,016.9,86.42,101238,1023
13,Misssissippian-1,03-05-11 15:11:48,3.0,7.937005,1.31607401295,016.9,86.37,101237,1023
14,Misssissippian-1,03-05-11 15:12:04,4.0,7.937025,1.41421356237,016.9,86.32,101238,1023
15,Misssissippian-1,03-05-11 15:12:19,4.0,7.93704,1.41421356237,016.9,86.27,101237,1023
16,Misssissippian-1,03-05-11 15:12:39,4.0,7.937065,1.41421356237,016.9,86.25,101237,1023
17,Misssissippian-1,03-05-11 15:12:54,4.0,7.937075,1.41421356237,016.9,86.22,101237,1023
18,Misssissippian-1,03-05-11 15:13:10,5.0,7.937095,1.49534878122,016.9,86.18,101234,1023
19,Misssissippian-1,03-05-11 15:13:26,5.0,7.937105,1.49534878122,016.9,86.13,101236,1023
20,Misssissippian-1,03-05-11 15:13:44,5.0,7.937129,1.49534878122,016.9,86.10,101237,1023
21,Misssissippian-1,03-05-11 15:13:59,5.0,7.937139,1.49534878122,016.9,86.08,101237,1023
22,Misssissippian-1,03-05-11 15:14:14,6.0,7.937155,1.56508458007,016.9,86.03,101238,1023
23,Misssissippian-1,03-05-11 15:14:30,6.0,7.937174,1.56508458007,016.9,86.00,101237,1023
24,Misssissippian-1,03-05-11 15:14:45,6.0,7.937187,1.56508458007,016.9,85.98,101233,1023
25,Misssissippian-1,03-05-11 15:15:00,6.0,7.9372,1.56508458007,016.9,85.95,101238,1023
26,Misssissippian-1,03-05-11 15:15:16,7.0,7.93722,1.6265765617,016.9,85.89,101237,1023
27,Misssissippian-1,03-05-11 15:15:31,7.0,7.937231,1.6265765617,016.9,85.87,101236,1023
28,Misssissippian-1,03-05-11 15:15:46,7.0,7.937251,1.6265765617,016.9,85.85,101237,1023
29,Misssissippian-1,03-05-11 15:16:01,7.0,7.937261,1.6265765617,016.9,85.80,101238,1023
30,Misssissippian-1,03-05-11 15:16:17,8.0,7.937286,1.68179283051,016.8,85.80,101237,1023
31,Misssissippian-1,03-05-11 15:16:33,8.0,7.937294,1.68179283051,017.0,85.77,101237,1023
32,Misssissippian-1,03-05-11 15:16:48,8.0,7.937311,1.68179283051,017.0,85.77,101237,1023
33,Misssissippian-1,03-05-11 15:17:03,8.0,7.937324,1.68179283051,016.9,85.72,101237,1023
34,Misssissippian-1,03-05-11 15:17:21,9.0,7.937344,1.73205080757,017.0,85.70,101236,1023
35,Misssissippian-1,03-05-11 15:17:36,9.0,7.93736,1.73205080757,016.9,85.67,101238,1023
36,Misssissippian-1,03-05-11 15:17:52,9.0,7.93737,1.73205080757,016.9,85.67,101237,1023
37,Misssissippian-1,03-05-11 15:18:07,10.0,7.937394,1.77827941004,016.9,85.62,101234,1023
38,Misssissippian-1,03-05-11 15:18:22,10.0,7.937403,1.77827941004,016.9,85.62,101236,1023
39,Misssissippian-1,03-05-11 15:18:37,10.0,7.937417,1.77827941004,016.9,85.60,101237,1023
